continent,country,population,day,time,cases.new,cases.active,cases.critical,cases.recovered,cases.1M_pop,cases.total,deaths.new,deaths.1M_pop,deaths.total,tests.1M_pop,tests.total
North-America,Canada,38388419.0,2024-10-22,2024-10-22T13:45:08+00:00,,5744.0,99.0,4881312.0,128843,4946090,,1538,59034.0,1734189,66572774.0
Europe,Spain,46719142.0,2024-10-22,2024-10-22T13:45:07+00:00,+702,30634.0,231.0,13762417.0,297840,13914811,+8,2606,121760.0,10082298,471036328.0
Europe,Italy,60262770.0,2024-10-22,2024-10-22T13:45:07+00:00,,165544.0,22.0,26361218.0,443445,26723249,,3261,196487.0,4665010,281126449.0
Europe,UK,68497907.0,2024-10-22,2024-10-22T13:45:07+00:00,,0.0,,24678275.0,363666,24910387,,3389,232112.0,7628357,522526476.0
Europe,Russia,145805947.0,2024-10-22,2024-10-22T13:45:07+00:00,,175641.0,,23545818.0,165454,24124215,,2762,402756.0,1875095,273400000.0
Asia,Turkey,85561976.0,2024-10-22,2024-10-22T13:45:07+00:00,,,,,201399,17232066,,1194,102174.0,1902052,162743369.0
Oceania,Australia,26068792.0,2024-10-22,2024-10-22T13:45:07+00:00,,8716.0,3.0,11820014.0,454687,11853144,,937,24414.0,3142326,81916639.0
Asia,Vietnam,98953541.0,2024-10-22,2024-10-22T13:45:07+00:00,,941018.0,,10640971.0,117481,11625195,,437,43206.0,867342,85826548.0
Asia,Taiwan,23888595.0,2024-10-22,2024-10-22T13:45:07+00:00,,0.0,,10222518.0,428720,10241523,,796,19005.0,1286903,30742304.0
South-America,Argentina,46010234.0,2024-10-22,2024-10-22T13:45:07+00:00,,746.0,,9997258.0,220143,10128845,,2844,130841.0,776264,35716069.0
Europe,Netherlands,17211447.0,2024-10-22,2024-10-22T13:45:07+00:00,,195.0,,8612599.0,501747,8635786,,1336,22992.0,1509718,25984435.0
North-America,Mexico,131562772.0,2024-10-22,2024-10-22T13:45:07+00:00,,467986.0,,6899865.0,58549,7702809,,2546,334958.0,152124,20013810.0
All,All,,2024-10-22,2024-10-22T13:45:06+00:00,0,22123398.0,34794.0,675619811.0,90413,704753890,0,899.4,7010681.0,,
North-America,USA,334805269.0,2024-10-22,2024-10-22T13:45:06+00:00,,786167.0,940.0,109814428.0,333985,111820082,,3642,1219487.0,3544901,1186851502.0
Asia,India,1406631776.0,2024-10-22,2024-10-22T13:45:06+00:00,,,,,32016,45035393,,379,533570.0,665334,935879495.0
Europe,France,65584518.0,2024-10-22,2024-10-22T13:45:06+00:00,,0.0,,39970918.0,612013,40138560,,2556,167642.0,4139547,271490188.0
Europe,Germany,83883596.0,2024-10-22,2024-10-22T13:45:06+00:00,,405368.0,,38240600.0,462891,38828995,,2182,183027.0,1458359,122332384.0
South-America,Brazil,215353593.0,2024-10-22,2024-10-22T13:45:06+00:00,,1783377.0,,36249161.0,179908,38743918,,3303,711380.0,296146,63776166.0
Asia,S-Korea,51329899.0,2024-10-22,2024-10-22T13:45:06+00:00,,0.0,,34535939.0,673523,34571873,,700,35934.0,307892,15804065.0
Asia,Japan,125584838.0,2024-10-22,2024-10-22T13:45:06+00:00,,,,,269169,33803572,,595,74694.0,799578,100414883.0
North-America,North-America,,2024-10-22,2024-10-22T13:45:05+00:00,,2528062.0,6095.0,127665129.0,,131889132,,,1695941.0,,
Asia,Asia,,2024-10-22,2024-10-22T13:45:05+00:00,,14273512.0,14733.0,205673091.0,,221500265,,,1553662.0,,
Europe,Europe,,2024-10-22,2024-10-22T13:45:05+00:00,,2550270.0,4453.0,248754104.0,,253406198,,,2101824.0,,
South-America,South-America,,2024-10-22,2024-10-22T13:45:05+00:00,,2149962.0,8953.0,66683585.0,,70200879,,,1367332.0,,
Oceania,Oceania,,2024-10-22,2024-10-22T13:45:05+00:00,,110368.0,31.0,14752388.0,,14895771,,,33015.0,,
Africa,Africa,,2024-10-22,2024-10-22T13:45:05+00:00,,511224.0,529.0,12090808.0,,12860924,,,258892.0,,
